section_id,period_id,section_name,base_id,view_id,bu_id,narrative,key_drivers,narrative_confidence,status
9e56713aa0e71c19,2026-06,Revenue,BUDGET,MTD,,"Revenue decreased by $26,166 (-1.4%) vs Budget. Key drivers: Consulting Fees (-9,392), Reinsurance Commissions (-7,823), Advisory & Brokerage Fees (+7,266). 2 of 6 lines contributed positively.","[{'account_name': 'Consulting Fees', 'amount': -9392.0, 'direction': 'unfavorable'}, {'account_name': 'Reinsurance Commissions', 'amount': -7823.0, 'direction': 'unfavorable'}, {'account_name': 'Advisory & Brokerage Fees', 'amount': 7266.0, 'direction': 'favorable'}]",0.7,AI_DRAFT
228f4928a268a0c4,2026-06,COGS,BUDGET,MTD,,"COGS increased by $2,903 (+0.4%) vs Budget. Key drivers: Subcontractor Costs (+2,301), Direct Compensation (-1,639), Direct Technology Costs (+788). 3 of 4 lines contributed positively.","[{'account_name': 'Subcontractor Costs', 'amount': 2301.0, 'direction': 'favorable'}, {'account_name': 'Direct Compensation', 'amount': -1639.0, 'direction': 'unfavorable'}, {'account_name': 'Direct Technology Costs', 'amount': 788.0, 'direction': 'favorable'}]",0.7,AI_DRAFT
3919615985eba91a,2026-06,OpEx,BUDGET,MTD,,"OpEx increased by $4,683 (+0.6%) vs Budget. Key drivers: Technology & Infrastructure (+3,900), Compensation & Benefits (-959), Professional Services (+480). 4 of 10 lines contributed positively.","[{'account_name': 'Technology & Infrastructure', 'amount': 3900.0, 'direction': 'favorable'}, {'account_name': 'Compensation & Benefits', 'amount': -959.0, 'direction': 'unfavorable'}, {'account_name': 'Professional Services', 'amount': 480.0, 'direction': 'favorable'}]",0.7,AI_DRAFT
f70cf8c171c8599e,2026-06,Non-Operating,BUDGET,MTD,,"Non-Operating decreased by $118 (-0.3%) vs Budget. Key drivers: Interest Expense (-164), Interest Income (+106), Other Non-Operating (-1). 1 of 3 lines contributed positively.","[{'account_name': 'Interest Expense', 'amount': -164.0, 'direction': 'unfavorable'}, {'account_name': 'Interest Income', 'amount': 106.0, 'direction': 'favorable'}, {'account_name': 'Other Non-Operating', 'amount': -1.0, 'direction': 'unfavorable'}]",0.7,AI_DRAFT
bcbc2b7a7f260e30,2026-06,Profitability,BUDGET,MTD,,"Gross Profit decreased by $14,535 (-2.6%), margin 58.6%. EBITDA decreased by $17,333 (-9.9%), margin 16.9%. Operating Income decreased by $16,876 (-11.6%), margin 13.8%.","[{'account_name': 'Gross Profit', 'amount': 0, 'direction': ''}, {'account_name': 'EBITDA', 'amount': 0, 'direction': ''}, {'account_name': 'Operating Income', 'amount': 0, 'direction': ''}, {'account_name': 'Net Income', 'amount': 0, 'direction': ''}]",0.7,AI_DRAFT
7fd43272cefcf2a3,2026-06,Revenue,BUDGET,MTD,guy_carpenter,"Revenue decreased by $13,182 (-3.6%) vs Budget. Key drivers: Reinsurance Commissions (-7,823), Advisory & Brokerage Fees (+918), Investment Income (+278). 3 of 6 lines contributed positively.","[{'account_name': 'Reinsurance Commissions', 'amount': -7823.0, 'direction': 'unfavorable'}, {'account_name': 'Advisory & Brokerage Fees', 'amount': 918.0, 'direction': 'favorable'}, {'account_name': 'Investment Income', 'amount': 278.0, 'direction': 'favorable'}]",0.7,AI_DRAFT
f8594170533d2c2c,2026-06,COGS,BUDGET,MTD,guy_carpenter,"COGS increased by $980 (+0.7%) vs Budget. Key drivers: Subcontractor Costs (+874), Direct Compensation (-483), Other Direct Costs (+197). 2 of 4 lines contributed positively.","[{'account_name': 'Subcontractor Costs', 'amount': 874.0, 'direction': 'favorable'}, {'account_name': 'Direct Compensation', 'amount': -483.0, 'direction': 'unfavorable'}, {'account_name': 'Other Direct Costs', 'amount': 197.0, 'direction': 'favorable'}]",0.7,AI_DRAFT
91266766b39b5061,2026-06,OpEx,BUDGET,MTD,guy_carpenter,"OpEx decreased by $356 (-0.2%) vs Budget. Key drivers: Compensation & Benefits (-908), Technology & Infrastructure (+847), Depreciation & Amortization (+135). 4 of 10 lines contributed positively.","[{'account_name': 'Compensation & Benefits', 'amount': -908.0, 'direction': 'unfavorable'}, {'account_name': 'Technology & Infrastructure', 'amount': 847.0, 'direction': 'favorable'}, {'account_name': 'Depreciation & Amortization', 'amount': 135.0, 'direction': 'favorable'}]",0.7,AI_DRAFT
c9b1b3bfb4d8e9cd,2026-06,Non-Operating,BUDGET,MTD,guy_carpenter,"Non-Operating decreased by $93 (-1.2%) vs Budget. Key drivers: Interest Expense (-67), Interest Income (+22), Other Non-Operating (-2). 1 of 3 lines contributed positively.","[{'account_name': 'Interest Expense', 'amount': -67.0, 'direction': 'unfavorable'}, {'account_name': 'Interest Income', 'amount': 22.0, 'direction': 'favorable'}, {'account_name': 'Other Non-Operating', 'amount': -2.0, 'direction': 'unfavorable'}]",0.7,AI_DRAFT
7072105557c81bc8,2026-06,Profitability,BUDGET,MTD,guy_carpenter,"Gross Profit decreased by $7,081 (-6.4%), margin 58.6%. EBITDA decreased by $6,767 (-18.3%), margin 17.0%. Operating Income decreased by $6,902 (-22.0%), margin 13.8%.","[{'account_name': 'Gross Profit', 'amount': 0, 'direction': ''}, {'account_name': 'EBITDA', 'amount': 0, 'direction': ''}, {'account_name': 'Operating Income', 'amount': 0, 'direction': ''}, {'account_name': 'Net Income', 'amount': 0, 'direction': ''}]",0.7,AI_DRAFT
